backend,tau,auto_rate,acc_cwv,n_auto,n_manual
TF-IDF + LR,0.05,1.0,0.992,2000,0
TF-IDF + LR,0.1,0.9915,0.9934,1983,17
TF-IDF + LR,0.15,0.9275,0.9973,1855,145
TF-IDF + LR,0.2,0.795,1.0,1590,410
TF-IDF + LR,0.25,0.6265,1.0,1253,747
TF-IDF + LR,0.3,0.4235,1.0,847,1153
TF-IDF + LR,0.35,0.331,1.0,662,1338
TF-IDF + LR,0.4,0.29,1.0,580,1420
TF-IDF + LR,0.45,0.235,1.0,470,1530
TF-IDF + LR,0.5,0.1075,1.0,215,1785
TF-IDF + LR,0.55,0.0985,1.0,197,1803
TF-IDF + LR,0.6,0.085,1.0,170,1830
TF-IDF + LR,0.65,0.054,1.0,108,1892
TF-IDF + LR,0.7,0.0535,1.0,107,1893
TF-IDF + LR,0.75,0.047,1.0,94,1906
TF-IDF + LR,0.8,0.047,1.0,94,1906
TF-IDF + LR,0.85,0.047,1.0,94,1906
TF-IDF + LR,0.9,0.046,1.0,92,1908
KoBERT,0.05,1.0,0.991,2000,0
KoBERT,0.1,0.9905,0.9934,1981,19
KoBERT,0.15,0.922,0.9951,1844,156
KoBERT,0.2,0.806,0.9981,1612,388
KoBERT,0.25,0.649,0.9977,1298,702
KoBERT,0.3,0.4355,0.9989,871,1129
KoBERT,0.35,0.352,0.9986,704,1296
KoBERT,0.4,0.299,0.9983,598,1402
KoBERT,0.45,0.2415,0.9979,483,1517
KoBERT,0.5,0.1205,1.0,241,1759
KoBERT,0.55,0.11,1.0,220,1780
KoBERT,0.6,0.097,1.0,194,1806
KoBERT,0.65,0.061,1.0,122,1878
KoBERT,0.7,0.0585,1.0,117,1883
KoBERT,0.75,0.0475,1.0,95,1905
KoBERT,0.8,0.047,1.0,94,1906
KoBERT,0.85,0.047,1.0,94,1906
KoBERT,0.9,0.0465,1.0,93,1907
