backend,store_size,dom_cat,dom_ratio,seg_mv,seg_cwv,scs,correct_mv,correct_cwv
TF-IDF + LR,5,0,0.8,3,3,0.136896,0,0
TF-IDF + LR,5,10,1.0,10,10,0.253063,1,1
TF-IDF + LR,5,10,0.8,10,10,0.253063,1,1
TF-IDF + LR,5,9,1.0,9,9,0.464595,1,1
TF-IDF + LR,5,4,1.0,4,4,1.0,1,1
TF-IDF + LR,5,8,0.8,8,8,0.464595,1,1
TF-IDF + LR,5,5,0.6,5,5,0.253063,1,1
TF-IDF + LR,5,10,1.0,10,10,0.464595,1,1
TF-IDF + LR,5,9,0.8,9,9,0.464595,1,1
TF-IDF + LR,5,0,1.0,0,0,0.253063,1,1
TF-IDF + LR,5,6,0.6,6,6,0.060206,1,1
TF-IDF + LR,5,0,0.8,0,0,0.464595,1,1
TF-IDF + LR,5,0,0.8,0,0,0.464595,1,1
TF-IDF + LR,5,9,0.8,9,9,0.253063,1,1
TF-IDF + LR,5,8,0.8,8,8,0.464595,1,1
TF-IDF + LR,5,1,0.8,1,1,0.464595,1,1
TF-IDF + LR,5,1,0.8,1,1,0.464595,1,1
TF-IDF + LR,5,6,0.6,6,6,0.304422,1,1
TF-IDF + LR,5,7,0.8,7,7,0.253063,1,1
TF-IDF + LR,5,8,0.6,8,8,0.253063,1,1
TF-IDF + LR,5,3,0.8,3,3,0.253063,1,1
TF-IDF + LR,5,7,0.8,7,7,0.253063,1,1
TF-IDF + LR,5,4,0.6,4,4,0.253063,1,1
TF-IDF + LR,5,1,0.6,1,1,0.253063,1,1
TF-IDF + LR,5,6,0.6,0,6,0.158609,0,1
TF-IDF + LR,5,3,0.8,2,4,0.060206,0,0
TF-IDF + LR,5,2,0.8,2,2,1.0,1,1
TF-IDF + LR,5,0,0.6,0,0,0.253063,1,1
TF-IDF + LR,5,3,0.8,3,3,0.464595,1,1
TF-IDF + LR,5,10,0.6,10,10,0.253063,1,1
TF-IDF + LR,5,8,0.8,8,8,0.464595,1,1
TF-IDF + LR,5,10,0.6,10,10,0.304422,1,1
TF-IDF + LR,5,9,0.8,9,9,0.464595,1,1
TF-IDF + LR,5,0,0.8,0,0,0.464595,1,1
TF-IDF + LR,5,2,1.0,2,2,1.0,1,1
TF-IDF + LR,5,1,0.8,1,1,0.253063,1,1
TF-IDF + LR,5,3,0.8,3,3,0.253063,1,1
TF-IDF + LR,5,1,0.8,1,1,0.304422,1,1
TF-IDF + LR,5,4,1.0,4,4,1.0,1,1
TF-IDF + LR,5,6,0.8,6,6,0.464595,1,1
TF-IDF + LR,5,10,0.8,10,10,0.464595,1,1
TF-IDF + LR,5,9,0.6,9,9,0.136896,1,1
TF-IDF + LR,5,10,1.0,10,10,0.464595,1,1
TF-IDF + LR,5,9,1.0,9,9,1.0,1,1
TF-IDF + LR,5,6,0.8,6,6,0.464595,1,1
TF-IDF + LR,5,3,0.6,9,9,0.136896,0,0
TF-IDF + LR,5,1,0.6,1,1,0.136896,1,1
TF-IDF + LR,5,10,1.0,10,10,1.0,1,1
TF-IDF + LR,5,5,0.6,5,5,0.253063,1,1
TF-IDF + LR,5,7,0.8,7,7,0.158609,1,1
TF-IDF + LR,5,5,0.6,5,5,0.253063,1,1
TF-IDF + LR,5,4,0.6,9,4,0.060206,0,1
TF-IDF + LR,5,1,1.0,1,1,1.0,1,1
TF-IDF + LR,5,3,1.0,3,3,0.464595,1,1
TF-IDF + LR,5,3,1.0,3,3,0.464595,1,1
TF-IDF + LR,5,0,0.8,0,0,0.464595,1,1
TF-IDF + LR,5,4,0.8,4,4,0.464595,1,1
TF-IDF + LR,5,7,0.8,7,7,0.253063,1,1
TF-IDF + LR,5,7,1.0,7,7,1.0,1,1
TF-IDF + LR,5,2,0.8,2,2,0.304422,1,1
TF-IDF + LR,5,6,0.6,6,6,0.158609,1,1
TF-IDF + LR,5,8,0.8,8,8,0.464595,1,1
TF-IDF + LR,5,7,0.6,7,7,0.136896,1,1
TF-IDF + LR,5,6,0.8,6,6,0.253063,1,1
TF-IDF + LR,5,2,1.0,2,2,0.253063,1,1
TF-IDF + LR,5,8,1.0,8,8,0.464595,1,1
TF-IDF + LR,5,6,0.8,6,6,0.253063,1,1
TF-IDF + LR,5,10,0.8,10,10,0.253063,1,1
TF-IDF + LR,5,3,0.8,3,3,0.136896,1,1
TF-IDF + LR,5,10,0.6,10,10,0.253063,1,1
TF-IDF + LR,5,0,0.6,0,0,0.158609,1,1
TF-IDF + LR,5,5,0.8,5,5,0.464595,1,1
TF-IDF + LR,5,4,1.0,4,4,1.0,1,1
TF-IDF + LR,5,0,0.8,0,0,0.253063,1,1
TF-IDF + LR,5,2,0.6,2,2,0.253063,1,1
TF-IDF + LR,5,10,0.6,10,10,0.136896,1,1
TF-IDF + LR,5,2,1.0,2,2,1.0,1,1
TF-IDF + LR,5,7,1.0,7,7,0.253063,1,1
TF-IDF + LR,5,8,0.8,8,8,0.464595,1,1
TF-IDF + LR,5,0,0.8,0,0,0.253063,1,1
TF-IDF + LR,5,6,0.6,6,6,0.158609,1,1
TF-IDF + LR,5,8,1.0,8,8,0.464595,1,1
TF-IDF + LR,5,4,1.0,4,4,0.464595,1,1
TF-IDF + LR,5,4,0.6,4,4,0.136896,1,1
TF-IDF + LR,5,1,0.6,1,1,0.253063,1,1
TF-IDF + LR,5,4,0.8,4,4,0.464595,1,1
TF-IDF + LR,5,3,0.6,0,3,0.158609,0,1
TF-IDF + LR,5,3,0.8,2,3,0.158609,0,1
TF-IDF + LR,5,8,0.8,8,8,0.464595,1,1
TF-IDF + LR,5,8,1.0,8,8,1.0,1,1
TF-IDF + LR,5,2,1.0,2,2,0.464595,1,1
TF-IDF + LR,5,9,0.8,9,9,0.464595,1,1
TF-IDF + LR,5,8,0.6,8,8,0.253063,1,1
TF-IDF + LR,5,2,0.6,2,2,0.136896,1,1
TF-IDF + LR,5,8,0.8,8,8,0.464595,1,1
TF-IDF + LR,5,3,0.6,3,3,0.136896,1,1
TF-IDF + LR,5,9,1.0,9,9,0.464595,1,1
TF-IDF + LR,5,4,0.8,4,4,0.464595,1,1
TF-IDF + LR,5,10,0.6,10,10,0.253063,1,1
TF-IDF + LR,5,3,0.8,3,3,0.253063,1,1
TF-IDF + LR,5,9,0.8,9,9,0.464595,1,1
TF-IDF + LR,5,0,0.8,0,0,0.253063,1,1
TF-IDF + LR,5,5,1.0,5,5,1.0,1,1
TF-IDF + LR,5,4,0.8,4,4,0.464595,1,1
TF-IDF + LR,5,10,0.8,10,10,0.464595,1,1
TF-IDF + LR,5,6,0.8,6,6,0.464595,1,1
TF-IDF + LR,5,3,0.8,3,3,0.253063,1,1
TF-IDF + LR,5,10,1.0,10,10,1.0,1,1
TF-IDF + LR,5,0,0.8,0,0,0.464595,1,1
TF-IDF + LR,5,10,1.0,10,10,1.0,1,1
TF-IDF + LR,5,1,0.6,1,1,0.253063,1,1
TF-IDF + LR,5,3,0.8,3,3,0.253063,1,1
TF-IDF + LR,5,8,1.0,8,8,1.0,1,1
TF-IDF + LR,5,1,0.8,1,1,0.464595,1,1
TF-IDF + LR,5,4,0.6,4,4,0.136896,1,1
TF-IDF + LR,5,0,0.8,7,7,0.158609,0,0
TF-IDF + LR,5,6,0.6,6,6,0.253063,1,1
TF-IDF + LR,5,3,0.8,3,3,0.253063,1,1
TF-IDF + LR,5,7,0.8,7,7,0.464595,1,1
TF-IDF + LR,5,3,0.8,3,3,0.253063,1,1
TF-IDF + LR,5,8,0.8,8,8,0.464595,1,1
TF-IDF + LR,5,4,0.6,4,4,0.253063,1,1
TF-IDF + LR,5,9,0.8,9,9,0.253063,1,1
TF-IDF + LR,5,3,1.0,3,3,0.464595,1,1
TF-IDF + LR,5,8,0.8,8,8,0.253063,1,1
TF-IDF + LR,5,1,1.0,1,1,1.0,1,1
TF-IDF + LR,5,6,0.8,6,6,0.158609,1,1
TF-IDF + LR,5,9,1.0,9,9,0.464595,1,1
TF-IDF + LR,5,10,0.8,10,10,0.464595,1,1
TF-IDF + LR,5,3,0.6,3,3,0.136896,1,1
TF-IDF + LR,5,3,0.6,7,7,0.136896,0,0
TF-IDF + LR,5,4,0.8,4,4,0.464595,1,1
TF-IDF + LR,5,1,1.0,1,1,1.0,1,1
TF-IDF + LR,5,4,1.0,4,4,1.0,1,1
TF-IDF + LR,5,5,0.8,5,5,0.464595,1,1
TF-IDF + LR,5,5,0.8,5,5,0.464595,1,1
TF-IDF + LR,5,10,0.6,10,10,0.136896,1,1
TF-IDF + LR,5,5,0.8,5,5,0.464595,1,1
TF-IDF + LR,5,9,0.8,9,9,0.464595,1,1
TF-IDF + LR,5,2,0.8,2,2,0.253063,1,1
TF-IDF + LR,5,8,0.8,8,8,0.253063,1,1
TF-IDF + LR,5,6,0.6,6,6,0.136896,1,1
TF-IDF + LR,5,1,0.8,1,1,0.464595,1,1
TF-IDF + LR,5,1,0.6,1,1,0.253063,1,1
TF-IDF + LR,5,5,1.0,5,5,1.0,1,1
TF-IDF + LR,5,1,1.0,1,1,1.0,1,1
TF-IDF + LR,5,0,0.8,0,0,0.253063,1,1
TF-IDF + LR,5,0,0.6,0,0,0.304422,1,1
TF-IDF + LR,5,6,0.8,6,6,0.253063,1,1
TF-IDF + LR,5,7,0.8,7,7,0.464595,1,1
